curriculumCode,sourcePath,semester,curriculumSubjectCode,subjectCode,note
BIT_SE_K19B,$[0].subjects[26].children[4],5,SE_COM*1,ECI101,Mon hoc/ECI101 - Nhập môn các linh kiện và mạch điện tử.md
BIT_SE_K19D_K20A,$[1].subjects[26].children[4],5,SE_COM*1,ECI101,Mon hoc/ECI101 - Nhập môn các linh kiện và mạch điện tử.md
BIT_SE_K20B,$[2].subjects[26].children[4],5,SE_COM*1,ECI101,Mon hoc/ECI101 - Nhập môn các linh kiện và mạch điện tử.md
BIT_SE_K21B,$[3].subjects[26].children[4],5,SE_COM*1,ECI101,Mon hoc/ECI101 - Nhập môn các linh kiện và mạch điện tử.md
BIT_SE_K19B,$[0].subjects[31].children[0],6,ENW493c,ENW493c,Mon hoc/ENW493c - Phương pháp nghiên cứu và kỹ năng viết học thuật.md
BIT_SE_K19D_K20A,$[1].subjects[31].children[0],6,ENW493c,ENW493c,Mon hoc/ENW493c - Phương pháp nghiên cứu và kỹ năng viết học thuật.md
BIT_SE_K20B,$[2].subjects[31].children[0],6,ENW493c,ENW493c,Mon hoc/ENW493c - Phương pháp nghiên cứu và kỹ năng viết học thuật.md
BIT_SE_K21B,$[3].subjects[31].children[0],6,ENW493c,ENW493c,Mon hoc/ENW493c - Phương pháp nghiên cứu và kỹ năng viết học thuật.md
BIT_SE_K19B,$[0].subjects[33].children[0],7,EXE101,EXE101,Mon hoc/EXE101 - Experiential Entrepreneurship 1 - Trải nghiệm khởi nghiệp 1.md
BIT_SE_K19D_K20A,$[1].subjects[33].children[0],7,EXE101,EXE101,Mon hoc/EXE101 - Experiential Entrepreneurship 1 - Trải nghiệm khởi nghiệp 1.md
BIT_SE_K20B,$[2].subjects[33].children[0],7,EXE101,EXE101,Mon hoc/EXE101 - Experiential Entrepreneurship 1 - Trải nghiệm khởi nghiệp 1.md
BIT_SE_K21B,$[3].subjects[33].children[0],7,EXE101,EXE101,Mon hoc/EXE101 - Experiential Entrepreneurship 1 - Trải nghiệm khởi nghiệp 1.md
BIT_SE_K19B,$[0].subjects[38].children[0],8,EXE201,EXE201,Mon hoc/EXE201 - Experiential Entrepreneurship 2 - Trải nghiệm khởi nghiệp 2.md
BIT_SE_K19D_K20A,$[1].subjects[38].children[0],8,EXE201,EXE201,Mon hoc/EXE201 - Experiential Entrepreneurship 2 - Trải nghiệm khởi nghiệp 2.md
